transaction_id,customer_id,transaction_date,category,item,quantity,unit_price,discount,total_spent,payment_method,location,region,customer_segment,rating,returned
TXN-100009,CUST-3792,2022-08-23,Beauty & Personal Care,Body Lotion,1,19.29,0.2,15.43,Bank Transfer,Online,East,Regular,2.2,0.0
TXN-102433,CUST-1072,2023-04-08,Beauty & Personal Care,Hair Dryer,10,38.49,0.09,350.26,PayPal,Mobile App,East,Regular,2.8,1.0
TXN-101665,CUST-3373,2024-05-08,Clothing,Sunglasses,2,$37.92,0.11,67.5,Bank Transfer,ERROR,South,VIP,2.4,0.0
TXN-102125,CUST-1576,25-07-2023,Home & Kitchen,Coffee Maker,3,63.66,0.21,150.87,Cash,Online,East,New,1.9,0.0
TXN-103455,CUST-2385,2022-08-11,Books,Business Analytics,1,36.7,0.09,33.4,Credit Card,Online,North,New,2.0,0.0
TXN-100821,CUST-4824,28/07/2024,Home & Kitchen,Toaster Oven,6,82.61,,495.66,Cash,Online,East,Regular,4.2,0.0
TXN-100330,CUST-3152,2023-10-13,Beauty & Personal Care,Face Serum,9,37.02,,296.53,Cash,In-Store,Central,Regular,4.1,0.0
TXN-102140,CUST-3559,2023-01-04,Books,Deep Work,N/A,16.42,0.26,109.36,Credit Card,Mobile App,South,Regular,4.7,0.0
TXN-104006,CUST-2337,2022-10-20,Electronics,Webcam,9,93.17,0.18,687.59,Bank Transfer,Mobile App,East,New,3.1,0.0
TXN-108856,CUST-3208,2023-02-23,Home & Kitchen,Coffee Maker,5,66.59,0.24,253.04,PayPal,Online,West,VIP,3.7,0.0
TXN-109326,CUST-2139,2022-09-29,Toys & Games,Action Figure Set,10,31.31,0.21,247.35,Debit Card,Mobile App,Central,Premium,,0.0
TXN-100016,CUST-2912,2024-04-21,Toys & Games,Jigsaw Puzzle,7,18.37,0.11,114.45,Credit Card,Mobile App,North,Regular,2.6,0.0
TXN-107082,CUST-1702,2023-03-14,Home & Kitchen,Kitchen Knife Set,7,86.2,0.24,458.58,Credit Card,In-Store,North,VIP,2.9,0.0
TXN-108892,CUST-3022,2022-01-22,Books,Clean Code,4,28.12,0.02,110.23,Cash,Mobile App,West,Regular,1.5,0.0
TXN-103601,CUST-4668,2022-08-13,Toys & Games,Chess Set,8,38.64,0.02,302.94,Bank Transfer,In-Store,East,Regular,3.6,0.0
TXN-102608,CUST-1046,2022-06-24,Automotive,Car Phone Mount,2,21.96,0.27,32.06,Cash,Mobile App,Central,Regular,3.5,1.0
TXN-107463,CUST-4663,2023-04-09,Home & Kitchen,Desk Lamp,8,33.9,0.07,252.22,Bank Transfer,Online,Central,VIP,1.2,0.0
TXN-109144,CUST-2506,2024-07-22,Home & Kitchen,Blender,10,$54.89,0.16,461.08,PayPal,In-Store,South,VIP,2.7,0.0
TXN-103562,CUST-1635,2022-10-10,Home & Kitchen,Kitchen Knife Set,10,96.01,0.16,806.48,Debit Card,Mobile App,East,New,3.6,0.0
TXN-105769,CUST-4007,2022-07-21,Books,The Pragmatic Programmer,9,43.64,,353.48,Bank Transfer,Mobile App,North,,4.7,0.0
TXN-103074,CUST-1503,2022-08-16,Toys & Games,Jigsaw Puzzle,6,20.01,0.02,117.66,PayPal,Online,West,Premium,,0.0
TXN-105393,CUST-3689,2024-11-30,Home & Kitchen,Desk Lamp,7,36.74,0.26,190.31,Debit Card,Online,North,Regular,2.3,0.0
TXN-107392,CUST-3629,2023-04-25,Beauty & Personal Care,Shampoo Set,9,23.14,0.18,170.77,Debit Card,Mobile App,West,VIP,3.2,0.0
TXN-103568,CUST-4732,2022-01-09,Automotive,Jump Starter,3,85.78,0.24,195.58,Debit Card,In-Store,South,VIP,3.7,1.0
TXN-109123,CUST-3387,2022-04-01,Toys & Games,Card Game Bundle,5,14.18,0.08,65.23,Cash,In-Store,North,Regular,4.1,0.0
TXN-103264,CUST-4622,2023-10-02,Electronics,Bluetooth Speaker,4,85.67,0.17,284.42,Credit Card,Mobile App,South,VIP,2.1,0.0
TXN-102441,CUST-1927,2022-03-27,Sports & Outdoors,Jump Rope,2,14.19,0.09,25.83,Credit Card,In-Store,,Regular,3.8,0.0
TXN-101062,CUST-1923,2022-10-20,Sports & Outdoors,Protein Powder,3,47.18,0.24,107.57,Credit Card,Mobile App,,New,2.1,1.0
TXN-106748,CUST-1450,2022-02-22,Books,Statistics 101,2,25.23,0.28,36.33,Cash,Mobile App,South,New,3.9,0.0
TXN-102892,CUST-3262,2023-06-11,Books,Business Analytics,10,36.91,0.23,284.21,Debit Card,Mobile App,East,VIP,4.0,0.0
TXN-106592,CUST-2486,27/12/2024,Electronics,Laptop,4,825.58,0.17,2740.93,Bank Transfer,Online,Central,New,4.7,1.0
TXN-101429,CUST-2766,2022-06-24,Beauty & Personal Care,Face Cream,10,27.99,0.02,274.3,PayPal,Mobile App,North,New,1.9,0.0
TXN-105894,CUST-4271,2023-02-16,Beauty & Personal Care,Hair Dryer,10,41.82,0.02,409.84,Debit Card,In-Store,West,Premium,2.6,0.0
TXN-103255,CUST-3951,2024-11-27,Books,Data Structures,4,54.8,0.1,197.28,PayPal,Mobile App,Central,Regular,3.5,0.0
TXN-101582,CUST-2896,2023-10-17,Automotive,Car Vacuum,2,41.83,0.09,76.13,Cash,In-Store,West,Regular,3.4,0.0
TXN-109162,CUST-4338,2022-09-29,Home & Kitchen,Cookware Set,5,137.2,0.12,603.68,Bank Transfer,Online,Central,Regular,4.7,0.0
TXN-102603,CUST-3834,2024-06-04,Books,SQL Mastery,4,30.14,0.18,98.86,,Online,West,New,1.3,0.0
TXN-104963,CUST-2091,2023-02-21,Automotive,Jump Starter,10,84.48,0.06,794.11,Bank Transfer,Mobile App,West,VIP,2.9,1.0
TXN-100403,CUST-4616,2023-01-15,Books,SQL Mastery,9,29.7,0.11,237.9,Credit Card,Mobile App,East,Premium,2.3,0.0
TXN-107906,CUST-1957,2022-04-24,Home & Kitchen,Blender,9,61.19,0.21,435.06,Credit Card,In-Store,South,Premium,2.9,0.0
TXN-100183,CUST-1832,2023-06-07,Toys & Games,Play-Doh Kit,3,23.25,0.12,61.38,Debit Card,Mobile App,North,New,4.4,0.0
TXN-101835,CUST-4011,2024-01-06,Electronics,Webcam,9,86.99,0.24,595.01,Bank Transfer,Mobile App,South,Premium,4.9,0.0
TXN-104950,CUST-2953,2022-10-15,Home & Kitchen,Bed Sheets Set,10,$45.6,0.08,419.52,Debit Card,In-Store,South,New,2.4,1.0
TXN-107247,CUST-1950,12/06/2022,Sports & Outdoors,Sleeping Bag,9,72.75,0.29,464.87,PayPal,Mobile App,,Premium,4.8,0.0
TXN-101236,CUST-1473,2023-09-04,Home & Kitchen,Air Fryer,10,94.13,0.3,658.91,Bank Transfer,Online,West,New,2.2,0.0
TXN-109251,CUST-4334,2022-02-26,Sports & Outdoors,Yoga Mat,9,28.79,,228.02,PayPal,Mobile App,West,New,1.7,0.0
TXN-101311,CUST-4582,2022-07-06,Sports & Outdoors,Treadmill,9,575.45,,4453.98,Bank Transfer,In-Store,South,Regular,1.9,1.0
TXN-107728,CUST-2687,2022-01-02,Books,The Pragmatic Programmer,3,44.15,0.02,129.8,Bank Transfer,In-Store,Central,VIP,4.5,0.0
TXN-103380,CUST-1338,2024-07-17,Automotive,Seat Covers Set,4,49.7,,194.82,Debit Card,In-Store,,Regular,1.8,0.0
TXN-106622,CUST-1160,2024-03-16,Books,Python for Data Science,4,36.21,0.13,126.01,Credit Card,In-Store,Central,VIP,2.3,0.0
TXN-103407,CUST-4900,2023-04-14,Toys & Games,Remote Control Car,9,47.74,0.04,412.47,Credit Card,Mobile App,West,VIP,1.5,0.0
TXN-107642,CUST-4743,2023-05-14,Sports & Outdoors,Protein Powder,7,$51.17,0.3,250.73,Credit Card,In-Store,South,Regular,2.8,0.0
TXN-100287,CUST-4510,2023-03-15,Clothing,Dress Shirt,1,36.21,0.05,34.4,Cash,Mobile App,South,Premium,2.1,0.0
TXN-104363,CUST-3654,2024-06-13,Home & Kitchen,Coffee Maker,10,64.4,0.01,637.56,PayPal,Mobile App,,Premium,2.9,0.0
TXN-107782,CUST-3618,2022-02-04,Beauty & Personal Care,Shampoo Set,5,24.07,0.18,98.69,Debit Card,Online,North,Premium,1.6,0.0
TXN-101221,CUST-2144,2023-03-28,Sports & Outdoors,Tennis Racket,3,69.42,0.27,152.03,Credit Card,In-Store,South,VIP,2.7,1.0
TXN-104939,CUST-4295,2022-11-24,Books,Machine Learning Basics,1,35.89,0.21,28.35,PayPal,Online,South,Regular,3.5,1.0
TXN-104955,CUST-1782,11-03-2024,Automotive,Car Phone Mount,6,18.67,0.1,100.82,Debit Card,Mobile App,Central,Regular,4.6,0.0
TXN-106734,CUST-2195,2022-04-01,Books,Statistics 101,9,30.47,0.27,200.19,Bank Transfer,Mobile App,West,Regular,1.5,0.0
TXN-105964,CUST-4046,2023-08-20,Automotive,Car Air Freshener,6,10.01,0.02,58.86,Credit Card,Mobile App,West,VIP,,0.0
TXN-102301,CUST-4235,2022-08-30,Home & Kitchen,Desk Lamp,2,34.6,0.25,51.9,Bank Transfer,Mobile App,West,New,2.0,0.0
TXN-101832,CUST-3868,2023-10-21,Clothing,Backpack,5,55.49,0.19,224.73,Bank Transfer,In-Store,Central,Premium,3.9,0.0
TXN-101934,CUST-3827,2022-10-22,Books,Data Structures,4,49.88,0.06,187.55,Bank Transfer,Mobile App,West,Premium,4.1,0.0
TXN-102761,CUST-4700,2022-10-07,Beauty & Personal Care,Lip Balm Pack,1,13.94,0.07,12.96,PayPal,In-Store,Central,New,2.1,0.0
TXN-109732,CUST-3437,2022-06-19,Automotive,Car Vacuum,10,41.17,0.01,407.58,Credit Card,In-Store,South,New,2.2,1.0
TXN-100451,CUST-3644,2022-03-14,Books,The Pragmatic Programmer,8,48.79,0.27,284.93,Cash,Online,South,New,4.6,1.0
TXN-100601,CUST-4446,2023-09-08,Clothing,Sunglasses,3,33.59,0.21,79.61,ERROR,Mobile App,West,VIP,3.3,1.0
TXN-101499,CUST-2289,2023-02-04,Electronics,Mechanical Keyboard,9,114.62,0.19,835.58,Debit Card,Online,Central,VIP,4.3,0.0
TXN-105344,CUST-3795,2023-12-07,Sports & Outdoors,Protein Powder,4,54.06,,201.1,PayPal,In-Store,Central,,1.3,0.0
TXN-104551,CUST-1732,14-10-2022,Automotive,Car Phone Mount,1,20.74,0.01,20.53,Cash,In-Store,East,Premium,1.5,0.0
TXN-107596,CUST-2462,2024-08-31,Books,SQL Mastery,9,34.4,0.08,284.83,Debit Card,Mobile App,South,Regular,4.2,1.0
TXN-109025,CUST-3054,2023-10-10,Automotive,Car Vacuum,7,37.76,0.22,206.17,PayPal,Mobile App,East,New,2.9,0.0
TXN-101907,CUST-1977,2022-03-23,Electronics,Smart Watch,7,254.42,0.23,1371.32,Bank Transfer,Online,Central,New,3.7,0.0
TXN-101464,CUST-2925,2022-05-10,Sports & Outdoors,Cycling Helmet,10,57.27,0.12,503.98,PayPal,Mobile App,North,Premium,3.8,1.0
TXN-103173,CUST-3225,2023-04-21,Clothing,Yoga Pants,8,47.11,0.27,275.12,Debit Card,,East,New,2.7,0.0
TXN-105903,CUST-3524,2022-12-30,Clothing,Running Shoes,6,87.24,0.13,455.39,Cash,Online,,Regular,3.5,0.0
TXN-107585,CUST-2433,2023-10-02,Books,Deep Work,9,16.33,0.06,138.15,PayPal,Online,Central,Premium,4.6,0.0
TXN-109157,CUST-3216,2024-01-02,Automotive,Seat Covers Set,8,46.46,0.03,360.53,Cash,Mobile App,North,New,1.9,0.0
TXN-102804,CUST-4119,2022-12-07,Beauty & Personal Care,Face Serum,4,36.03,0.23,110.97,PayPal,Mobile App,West,New,2.0,
TXN-109335,CUST-2108,2024-03-27,Home & Kitchen,Rice Cooker,3,44.73,0.14,115.4,Bank Transfer,In-Store,South,Premium,4.7,0.0
TXN-109058,CUST-1602,2023-09-25,Automotive,Car Air Freshener,6,9.54,0.02,56.1,PayPal,Online,South,Regular,3.7,0.0
TXN-106599,CUST-4111,2024-12-19,Books,Machine Learning Basics,3,33.74,0.03,98.18,Cash,Online,South,Premium,4.7,0.0
TXN-103891,CUST-1759,2022-11-25,Clothing,Dress Shirt,3,38.38,0.09,104.78,Bank Transfer,In-Store,East,VIP,2.6,0.0
TXN-100587,CUST-2928,2023-04-26,Beauty & Personal Care,Perfume Set,1,82.71,0.02,81.06,Debit Card,Mobile App,Central,Regular,1.0,1.0
TXN-102217,CUST-4354,2022-08-06,Beauty & Personal Care,Face Serum,3,37.56,0.27,82.26,Cash,Mobile App,South,New,4.2,0.0
TXN-108751,CUST-3434,2022-07-05,Clothing,Sunglasses,9,33.44,,252.81,Credit Card,Mobile App,West,Regular,3.0,0.0
TXN-109740,CUST-3752,2023-11-27,Automotive,USB Car Charger,9,14.65,0.13,114.71,Debit Card,Mobile App,West,New,1.6,1.0
TXN-106899,CUST-1049,2024-12-18,Automotive,Car Phone Mount,5,19.42,0.24,73.8,Credit Card,Online,West,Premium,4.5,0.0
TXN-106756,CUST-3253,2024-07-27,Books,Deep Work,2,19.45,0.22,30.34,Credit Card,Mobile App,Central,VIP,4.6,0.0
TXN-105559,CUST-4548,2023-01-05,Clothing,Backpack,7,59.88,0.1,377.24,PayPal,In-Store,North,New,3.1,0.0
TXN-107066,CUST-3707,2023-07-31,Beauty & Personal Care,Perfume Set,3,85.51,0.16,215.49,Credit Card,In-Store,Central,Regular,1.1,0.0
TXN-103980,CUST-1225,2024-10-26,Books,Clean Code,6,28.14,0.3,118.19,Credit Card,Mobile App,South,VIP,4.0,0.0
TXN-109577,CUST-2526,2024-09-28,Books,Business Analytics,3,35.25,,75.08,Credit Card,In-Store,Central,Regular,1.0,1.0
TXN-109882,CUST-3346,2024-08-02,Books,SQL Mastery,4,33.14,0.04,127.26,Cash,In-Store,South,Regular,4.1,0.0
TXN-106146,CUST-1778,2023-01-25,Electronics,Mechanical Keyboard,1,111.76,0.25,83.82,Cash,In-Store,South,Regular,4.2,1.0
TXN-108733,CUST-3334,2023-02-11,Toys & Games,Action Figure Set,7,28.09,0.08,180.9,Credit Card,Mobile App,West,Regular,4.7,0.0
TXN-105658,CUST-3851,2024-07-27,Home & Kitchen,Rice Cooker,10,46.47,0.06,436.82,Bank Transfer,Mobile App,East,Premium,1.3,0.0
TXN-107038,CUST-1677,2024-07-10,Toys & Games,Remote Control Car,10,48.39,0.17,401.64,Cash,In-Store,East,New,4.4,0.0
TXN-107111,CUST-4659,2023-07-15,Automotive,Car Air Freshener,3,10.39,0.16,26.18,Cash,Mobile App,East,VIP,,0.0
TXN-103304,CUST-4038,2022-10-05,Beauty & Personal Care,Perfume Set,8,87.46,0.03,678.69,Bank Transfer,,Central,VIP,1.7,0.0
TXN-107237,CUST-4451,2024-02-17,Clothing,Backpack,5,50.59,0.14,217.54,Cash,In-Store,South,Regular,99.0,0.0
TXN-102572,CUST-1858,2022-06-06,Toys & Games,Jigsaw Puzzle,2,21.44,0.04,41.16,Bank Transfer,Mobile App,North,New,3.2,0.0
TXN-104859,CUST-2820,11-11-2023,Clothing,Winter Jacket,9,134.74,0.08,1115.65,Debit Card,Online,South,Premium,2.8,0.0
TXN-103649,CUST-3440,2023-08-02,Clothing,Running Shoes,1,96.91,0.14,83.34,Cash,In-Store,West,Regular,2.0,0.0
TXN-105098,CUST-3992,2022-10-24,Toys & Games,Drone Mini,8,84.25,0.02,660.52,Debit Card,In-Store,North,Premium,2.7,0.0
TXN-100408,CUST-3177,2023-04-19,Beauty & Personal Care,Perfume Set,9,97.99,0.03,855.45,PayPal,In-Store,South,Premium,3.3,0.0
TXN-109703,CUST-1043,2022-04-15,Books,Atomic Habits,1,21.76,0.18,17.84,PayPal,In-Store,Central,New,3.2,0.0
TXN-106085,CUST-1146,2022-09-17,Books,Python for Data Science,7,36.44,0.28,183.66,Debit Card,In-Store,North,Premium,2.0,0.0
TXN-103000,CUST-2179,2022-11-15,Sports & Outdoors,Water Bottle,6,23.55,0.01,139.89,Cash,Mobile App,South,,1.5,0.0
TXN-105122,CUST-3732,2024-05-28,Books,SQL Mastery,3,35.54,0.2,85.3,Credit Card,Online,North,Regular,3.2,0.0
TXN-107441,CUST-2475,2022-11-02,Clothing,Backpack,5,60.42,0.3,211.47,Cash,Online,East,Regular,2.3,0.0
TXN-105846,CUST-2814,2023-07-08,Clothing,Cap,5,18.55,0.27,67.71,PayPal,In-Store,South,New,3.0,1.0
TXN-101344,CUST-2738,2024-09-20,Home & Kitchen,Desk Lamp,8,35.49,0.19,229.98,Bank Transfer,Mobile App,South,Premium,4.9,0.0
TXN-101051,CUST-1562,2022-02-25,Beauty & Personal Care,Hair Dryer,4,43.48,0.23,133.92,PayPal,In-Store,West,Regular,2.8,0.0
TXN-108369,CUST-1191,2024-01-01,Sports & Outdoors,Yoga Mat,3,30.57,0.09,83.46,Credit Card,Online,Central,New,3.1,0.0
TXN-102610,CUST-2944,2024-11-29,Books,Data Structures,8,45.27,0.02,354.92,PayPal,Online,North,New,2.8,0.0
TXN-107092,CUST-4840,2022-01-11,Clothing,Sunglasses,6,35.49,0.16,178.87,Debit Card,Mobile App,East,New,3.7,0.0
TXN-109005,CUST-2655,2023-05-02,Clothing,Denim Jeans,6,58.76,0.19,285.57,Cash,Online,Central,New,3.0,0.0
TXN-104933,CUST-3415,2024-07-17,Home & Kitchen,Air Fryer,5,92.28,0.01,456.79,Bank Transfer,In-Store,East,Regular,1.0,0.0
TXN-103248,CUST-2860,2022-12-20,Beauty & Personal Care,Beard Trimmer,2,43.5,0.25,65.25,Cash,Online,,VIP,3.1,0.0
TXN-105243,CUST-4776,2023-02-17,Toys & Games,Play-Doh Kit,10,21.28,0.03,206.42,PayPal,In-Store,North,VIP,1.9,0.0
