transaction_id,customer_id,transaction_date,category,item,quantity,unit_price,discount,total_spent,payment_method,location,region,customer_segment,rating,returned,year,month_year
TXN-108698,CUST-4239,2023-07-22,Clothing,Winter Jacket,8.0,134.06,0.25,804.36,Cash,Mobile App,West,Regular,3.3,1,2023,2023-07
TXN-100143,CUST-1626,2024-11-27,Home & Kitchen,Cookware Set,1.0,147.97,0.25,110.97749999999999,Debit Card,In-Store,South,VIP,4.7,0,2024,2024-11
TXN-104943,CUST-3756,2023-05-05,Home & Kitchen,Desk Lamp,5.0,35.11,0.09,159.75050000000002,PayPal,In-Store,North,VIP,3.5,0,2023,2023-05
TXN-104190,CUST-2168,2023-04-27,Beauty & Personal Care,Electric Toothbrush,8.0,50.6,0.25,303.6,Cash,Mobile App,North,New,2.0,0,2023,2023-04
TXN-106120,CUST-4773,2023-05-11,Electronics,Tablet,1.0,345.9,0.02,338.98199999999997,Bank Transfer,Online,Central,Regular,3.8,1,2023,2023-05
TXN-100227,CUST-4378,2024-05-29,Automotive,Tire Inflator,9.0,48.14,0.12,381.2688,Cash,Online,East,VIP,4.3,0,2024,2024-05
TXN-102906,CUST-3781,2022-09-19,Electronics,Mechanical Keyboard,3.0,126.23,0.21,299.1651,Cash,Mobile App,East,New,4.0,0,2022,2022-09
TXN-102711,CUST-2482,2022-08-10,Beauty & Personal Care,Beard Trimmer,2.0,44.0,0.14,75.67999999999999,Credit Card,Online,South,Regular,3.5,0,2022,2022-08
TXN-102080,CUST-3048,2022-11-18,Books,Python for Data Science,2.0,43.76,0.25,65.64,Credit Card,Online,Central,VIP,1.0,0,2022,2022-11
TXN-106942,CUST-2129,2023-10-21,Toys & Games,Drone Mini,1.0,84.31,0.15,71.6635,Debit Card,In-Store,West,VIP,4.9,1,2023,2023-10
TXN-109260,CUST-3949,2022-09-27,Sports & Outdoors,Tennis Racket,4.0,72.1,0.18,236.488,Debit Card,In-Store,East,Regular,2.6,0,2022,2022-09
TXN-103381,CUST-1725,2024-03-12,Home & Kitchen,Air Fryer,6.0,108.26,0.25,487.1700000000001,PayPal,In-Store,West,Regular,3.5,0,2024,2024-03
TXN-107116,CUST-4227,2023-01-29,Electronics,Smart Watch,9.0,237.83,0.3,1498.3290000000002,Credit Card,Mobile App,South,New,3.8,1,2023,2023-01
TXN-106555,CUST-2420,2022-08-26,Electronics,Webcam,4.0,97.53,0.0,390.12,Debit Card,Online,North,Regular,4.9,0,2022,2022-08
TXN-105150,CUST-4674,2023-10-19,Books,Statistics 101,5.0,26.8,0.1,120.60000000000001,Cash,Mobile App,West,VIP,2.0,0,2023,2023-10
TXN-107398,CUST-1501,2022-02-28,Toys & Games,Play-Doh Kit,9.0,20.77,0.0,186.93,Cash,In-Store,West,Regular,3.1,0,2022,2022-02
TXN-107792,CUST-2271,2022-01-23,Beauty & Personal Care,Body Lotion,7.0,18.82,0.08,121.20080000000002,Bank Transfer,Mobile App,West,Premium,1.8,0,2022,2022-01
TXN-105609,CUST-3444,2022-06-07,Clothing,Winter Jacket,5.0,118.3,0.1,532.35,Debit Card,In-Store,North,Premium,2.5,0,2022,2022-06
TXN-101066,CUST-1482,2024-06-19,Toys & Games,Drone Mini,8.0,98.86,0.19,640.6128,Debit Card,Mobile App,Central,VIP,2.3,0,2024,2024-06
TXN-106183,CUST-3228,2024-10-13,Clothing,Sunglasses,1.0,31.73,0.09,28.8743,PayPal,In-Store,West,VIP,3.0,0,2024,2024-10
TXN-108724,CUST-4611,2022-01-14,Books,Deep Work,5.0,16.89,0.02,82.761,Debit Card,In-Store,Central,New,1.8,0,2022,2022-01
TXN-105365,CUST-4999,2022-01-08,Beauty & Personal Care,Face Cream,5.0,32.05,0.04,153.84,Bank Transfer,Mobile App,West,VIP,2.8,0,2022,2022-01
TXN-102456,CUST-4408,2024-05-16,Automotive,Steering Wheel Cover,2.0,23.01,0.13,40.037400000000005,Credit Card,In-Store,East,Regular,1.7,0,2024,2024-05
TXN-103906,CUST-4860,2023-09-01,Beauty & Personal Care,Body Lotion,6.0,18.97,0.12,100.16159999999999,Cash,In-Store,North,New,2.2,1,2023,2023-09
TXN-100110,CUST-2438,2023-12-17,Clothing,Backpack,9.0,56.46,0.15,431.919,Cash,In-Store,North,Premium,2.0,0,2023,2023-12
TXN-100912,CUST-4901,2024-03-05,Toys & Games,ERROR,1.0,24.29,0.24,18.4604,Debit Card,Mobile App,West,New,3.3,1,2024,2024-03
TXN-109150,CUST-3028,2023-04-20,Automotive,Car Floor Mats,8.0,36.28,0.01,287.3376,Cash,Mobile App,East,Premium,2.0,0,2023,2023-04
TXN-108242,CUST-4339,2022-02-05,Toys & Games,Remote Control Car,8.0,45.61,0.22,284.6064,Debit Card,In-Store,West,New,4.6,0,2022,2022-02
TXN-101114,CUST-3566,2022-01-22,Beauty & Personal Care,Hair Dryer,8.0,42.52,0.08,312.9472,PayPal,In-Store,West,Premium,3.7,0,2022,2022-01
TXN-101574,CUST-1559,2023-07-20,Home & Kitchen,Coffee Maker,4.0,74.94,0.0,299.76,Cash,Online,Central,Regular,2.1,0,2023,2023-07
TXN-102454,CUST-2660,2023-05-20,Beauty & Personal Care,Body Lotion,2.0,17.1,0.14,29.412000000000003,Credit Card,In-Store,North,New,4.2,0,2023,2023-05
TXN-108165,CUST-2051,2022-04-05,Sports & Outdoors,Protein Powder,6.0,52.08,0.11,278.10720000000003,Credit Card,Mobile App,Central,VIP,2.4,0,2022,2022-04
TXN-101457,CUST-2818,2022-05-13,Toys & Games,Lego Creator Set,9.0,76.24,0.09,624.4055999999999,Credit Card,In-Store,Central,VIP,1.4,0,2022,2022-05
TXN-109987,CUST-2909,2022-09-06,Toys & Games,Board Game Pack,1.0,35.17,0.08,32.3564,Bank Transfer,Online,North,VIP,2.5,0,2022,2022-09
TXN-102339,CUST-3726,2024-12-26,Beauty & Personal Care,Shampoo Set,2.0,27.11,0.144,46.41232,Debit Card,In-Store,South,New,4.7,0,2024,2024-12
TXN-102830,CUST-1131,2023-04-11,Beauty & Personal Care,Hair Dryer,2.0,37.15,0.21,58.697,Cash,Online,South,New,3.72,0,2023,2023-04
TXN-107756,CUST-2230,2023-05-17,Books,Deep Work,1.0,16.8,0.08,15.456000000000001,Debit Card,In-Store,West,Premium,1.1,0,2023,2023-05
TXN-101932,CUST-2621,2024-07-31,Sports & Outdoors,Tennis Racket,10.0,75.32,0.15,640.2199999999999,Bank Transfer,In-Store,East,New,5.0,0,2024,2024-07
TXN-107985,CUST-2113,2023-04-17,Sports & Outdoors,Water Bottle,6.0,23.98,0.18,117.9816,Bank Transfer,Online,West,New,4.1,0,2023,2023-04
TXN-108472,CUST-4210,2024-07-31,Books,SQL Mastery,2.0,35.77,0.12,62.955200000000005,Debit Card,Online,Central,Regular,1.6,0,2024,2024-07
TXN-102720,CUST-2377,2023-05-31,Home & Kitchen,Vacuum Cleaner,1.0,181.0,0.3,126.69999999999999,Debit Card,In-Store,Central,Premium,3.0,0,2023,2023-05
TXN-101867,CUST-1646,2023-08-21,Toys & Games,Action Figure Set,3.0,30.65,0.12,80.916,Credit Card,In-Store,Central,Premium,4.9,0,2023,2023-08
TXN-105097,CUST-2966,2023-04-12,Clothing,Running Shoes,3.0,94.1,0.27,206.07899999999995,Credit Card,In-Store,West,Regular,2.5,0,2023,2023-04
TXN-103121,CUST-2414,2024-09-26,Toys & Games,Action Figure Set,6.0,29.09,0.25,130.905,Debit Card,Mobile App,North,Premium,4.5,1,2024,2024-09
TXN-103509,CUST-3701,2024-02-22,Clothing,Dress Shirt,1.0,37.19,0.13,32.3553,Bank Transfer,In-Store,West,Regular,1.2,1,2024,2024-02
TXN-104146,CUST-3820,2023-09-06,Automotive,Car Floor Mats,9.0,33.99,0.01,302.8509,PayPal,Online,North,New,1.9,0,2023,2023-09
TXN-100738,CUST-2542,2022-10-30,Electronics,Bluetooth Speaker,10.0,83.6,0.03,810.92,PayPal,Mobile App,South,Regular,1.4,0,2022,2022-10
TXN-108555,CUST-3509,2022-07-26,Sports & Outdoors,Cycling Helmet,2.0,63.4,0.11,112.852,Cash,Mobile App,North,Premium,2.7,0,2022,2022-07
TXN-106896,CUST-2052,2023-08-24,Home & Kitchen,Cookware Set,9.0,142.67,0.04,1232.6688,Cash,Mobile App,North,ERROR,1.5,0,2023,2023-08
TXN-100009,CUST-3792,2022-08-23,Beauty & Personal Care,Body Lotion,1.0,19.29,0.2,15.432,Bank Transfer,Online,East,Regular,2.2,0,2022,2022-08
TXN-102433,CUST-1072,2023-04-08,Beauty & Personal Care,Hair Dryer,10.0,38.49,0.09,350.25900000000007,PayPal,Mobile App,East,Regular,2.8,1,2023,2023-04
TXN-101665,CUST-3373,2024-05-08,Clothing,Sunglasses,2.0,37.92,0.11,67.4976,Bank Transfer,ERROR,South,VIP,2.4,0,2024,2024-05
TXN-102125,CUST-1576,2023-07-25,Home & Kitchen,Coffee Maker,3.0,63.66,0.21,150.8742,Cash,Online,East,New,1.9,0,2023,2023-07
TXN-103455,CUST-2385,2022-08-11,Books,Business Analytics,1.0,36.7,0.09,33.397000000000006,Credit Card,Online,North,New,2.0,0,2022,2022-08
TXN-100330,CUST-3152,2023-10-13,Beauty & Personal Care,Face Serum,9.0,37.02,0.08,306.5256,Cash,In-Store,Central,Regular,4.1,0,2023,2023-10
TXN-104006,CUST-2337,2022-10-20,Electronics,Webcam,9.0,93.17,0.18,687.5946,Bank Transfer,Mobile App,East,New,3.1,0,2022,2022-10
TXN-108856,CUST-3208,2023-02-23,Home & Kitchen,Coffee Maker,5.0,66.59,0.24,253.04200000000003,PayPal,Online,West,VIP,3.7,0,2023,2023-02
TXN-109326,CUST-2139,2022-09-29,Toys & Games,Action Figure Set,10.0,31.31,0.21,247.349,Debit Card,Mobile App,Central,Premium,3.6400000000000006,0,2022,2022-09
TXN-100016,CUST-2912,2024-04-21,Toys & Games,Jigsaw Puzzle,7.0,18.37,0.11,114.44510000000001,Credit Card,Mobile App,North,Regular,2.6,0,2024,2024-04
TXN-107082,CUST-1702,2023-03-14,Home & Kitchen,Kitchen Knife Set,7.0,86.2,0.24,458.584,Credit Card,In-Store,North,VIP,2.9,0,2023,2023-03
TXN-108892,CUST-3022,2022-01-22,Books,Clean Code,4.0,28.12,0.02,110.2304,Cash,Mobile App,West,Regular,1.5,0,2022,2022-01
TXN-103601,CUST-4668,2022-08-13,Toys & Games,Chess Set,8.0,38.64,0.02,302.9376,Bank Transfer,In-Store,East,Regular,3.6,0,2022,2022-08
TXN-102608,CUST-1046,2022-06-24,Automotive,Car Phone Mount,2.0,21.96,0.27,32.0616,Cash,Mobile App,Central,Regular,3.5,1,2022,2022-06
TXN-107463,CUST-4663,2023-04-09,Home & Kitchen,Desk Lamp,8.0,33.9,0.07,252.21599999999998,Bank Transfer,Online,Central,VIP,1.2,0,2023,2023-04
TXN-109144,CUST-2506,2024-07-22,Home & Kitchen,Blender,10.0,54.89,0.16,461.07599999999996,PayPal,In-Store,South,VIP,2.7,0,2024,2024-07
TXN-103562,CUST-1635,2022-10-10,Home & Kitchen,Kitchen Knife Set,10.0,96.01,0.16,806.484,Debit Card,Mobile App,East,New,3.6,0,2022,2022-10
TXN-105769,CUST-4007,2022-07-21,Books,The Pragmatic Programmer,9.0,43.64,0.16199999999999998,329.13288,Bank Transfer,Mobile App,North,ERROR,4.7,0,2022,2022-07
TXN-103074,CUST-1503,2022-08-16,Toys & Games,Jigsaw Puzzle,6.0,20.01,0.02,117.6588,PayPal,Online,West,Premium,2.98,0,2022,2022-08
TXN-105393,CUST-3689,2024-11-30,Home & Kitchen,Desk Lamp,7.0,36.74,0.26,190.3132,Debit Card,Online,North,Regular,2.3,0,2024,2024-11
TXN-107392,CUST-3629,2023-04-25,Beauty & Personal Care,Shampoo Set,9.0,23.14,0.18,170.7732,Debit Card,Mobile App,West,VIP,3.2,0,2023,2023-04
TXN-103568,CUST-4732,2022-01-09,Automotive,Jump Starter,3.0,85.78,0.24,195.57840000000002,Debit Card,In-Store,South,VIP,3.7,1,2022,2022-01
TXN-109123,CUST-3387,2022-04-01,Toys & Games,Card Game Bundle,5.0,14.18,0.08,65.22800000000001,Cash,In-Store,North,Regular,4.1,0,2022,2022-04
TXN-103264,CUST-4622,2023-10-02,Electronics,Bluetooth Speaker,4.0,85.67,0.17,284.4244,Credit Card,Mobile App,South,VIP,2.1,0,2023,2023-10
TXN-102441,CUST-1927,2022-03-27,Sports & Outdoors,Jump Rope,2.0,14.19,0.09,25.8258,Credit Card,In-Store,North,Regular,3.8,0,2022,2022-03
TXN-101062,CUST-1923,2022-10-20,Sports & Outdoors,Protein Powder,3.0,47.18,0.24,107.57039999999999,Credit Card,Mobile App,North,New,2.1,1,2022,2022-10
TXN-106748,CUST-1450,2022-02-22,Books,Statistics 101,2.0,25.23,0.28,36.3312,Cash,Mobile App,South,New,3.9,0,2022,2022-02
TXN-102892,CUST-3262,2023-06-11,Books,Business Analytics,10.0,36.91,0.23,284.207,Debit Card,Mobile App,East,VIP,4.0,0,2023,2023-06
TXN-101429,CUST-2766,2022-06-24,Beauty & Personal Care,Face Cream,10.0,27.99,0.02,274.30199999999996,PayPal,Mobile App,North,New,1.9,0,2022,2022-06
TXN-105894,CUST-4271,2023-02-16,Beauty & Personal Care,Hair Dryer,10.0,41.82,0.02,409.83599999999996,Debit Card,In-Store,West,Premium,2.6,0,2023,2023-02
TXN-103255,CUST-3951,2024-11-27,Books,Data Structures,4.0,54.8,0.1,197.28,PayPal,Mobile App,Central,Regular,3.5,0,2024,2024-11
TXN-101582,CUST-2896,2023-10-17,Automotive,Car Vacuum,2.0,41.83,0.09,76.1306,Cash,In-Store,West,Regular,3.4,0,2023,2023-10
TXN-109162,CUST-4338,2022-09-29,Home & Kitchen,Cookware Set,5.0,137.2,0.12,603.68,Bank Transfer,Online,Central,Regular,4.7,0,2022,2022-09
TXN-104963,CUST-2091,2023-02-21,Automotive,Jump Starter,10.0,84.48,0.06,794.112,Bank Transfer,Mobile App,West,VIP,2.9,1,2023,2023-02
TXN-100403,CUST-4616,2023-01-15,Books,SQL Mastery,9.0,29.7,0.11,237.89700000000002,Credit Card,Mobile App,East,Premium,2.3,0,2023,2023-01
TXN-107906,CUST-1957,2022-04-24,Home & Kitchen,Blender,9.0,61.19,0.21,435.06090000000006,Credit Card,In-Store,South,Premium,2.9,0,2022,2022-04
TXN-100183,CUST-1832,2023-06-07,Toys & Games,Play-Doh Kit,3.0,23.25,0.12,61.38,Debit Card,Mobile App,North,New,4.4,0,2023,2023-06
TXN-101835,CUST-4011,2024-01-06,Electronics,Webcam,9.0,86.99,0.24,595.0115999999999,Bank Transfer,Mobile App,South,Premium,4.9,0,2024,2024-01
TXN-104950,CUST-2953,2022-10-15,Home & Kitchen,Bed Sheets Set,10.0,45.6,0.08,419.52000000000004,Debit Card,In-Store,South,New,2.4,1,2022,2022-10
TXN-101236,CUST-1473,2023-09-04,Home & Kitchen,Air Fryer,10.0,94.13,0.3,658.91,Bank Transfer,Online,West,New,2.2,0,2023,2023-09
TXN-109251,CUST-4334,2022-02-26,Sports & Outdoors,Yoga Mat,9.0,28.79,0.11400000000000002,229.57146,PayPal,Mobile App,West,New,1.7,0,2022,2022-02
TXN-101311,CUST-4582,2022-07-06,Sports & Outdoors,Treadmill,9.0,575.45,0.22999999999999998,3987.8685,Bank Transfer,In-Store,South,Regular,1.9,1,2022,2022-07
TXN-107728,CUST-2687,2022-01-02,Books,The Pragmatic Programmer,3.0,44.15,0.02,129.801,Bank Transfer,In-Store,Central,VIP,4.5,0,2022,2022-01
TXN-103380,CUST-1338,2024-07-17,Automotive,Seat Covers Set,4.0,49.7,0.126,173.7512,Debit Card,In-Store,North,Regular,1.8,0,2024,2024-07
TXN-106622,CUST-1160,2024-03-16,Books,Python for Data Science,4.0,36.21,0.13,126.0108,Credit Card,In-Store,Central,VIP,2.3,0,2024,2024-03
TXN-103407,CUST-4900,2023-04-14,Toys & Games,Remote Control Car,9.0,47.74,0.04,412.47360000000003,Credit Card,Mobile App,West,VIP,1.5,0,2023,2023-04
TXN-107642,CUST-4743,2023-05-14,Sports & Outdoors,Protein Powder,7.0,51.17,0.3,250.73299999999998,Credit Card,In-Store,South,Regular,2.8,0,2023,2023-05
TXN-100287,CUST-4510,2023-03-15,Clothing,Dress Shirt,1.0,36.21,0.05,34.399499999999996,Cash,Mobile App,South,Premium,2.1,0,2023,2023-03
TXN-104363,CUST-3654,2024-06-13,Home & Kitchen,Coffee Maker,10.0,64.4,0.01,637.56,PayPal,Mobile App,North,Premium,2.9,0,2024,2024-06
TXN-107782,CUST-3618,2022-02-04,Beauty & Personal Care,Shampoo Set,5.0,24.07,0.18,98.687,Debit Card,Online,North,Premium,1.6,0,2022,2022-02
TXN-101221,CUST-2144,2023-03-28,Sports & Outdoors,Tennis Racket,3.0,69.42,0.27,152.0298,Credit Card,In-Store,South,VIP,2.7,1,2023,2023-03
TXN-104939,CUST-4295,2022-11-24,Books,Machine Learning Basics,1.0,35.89,0.21,28.3531,PayPal,Online,South,Regular,3.5,1,2022,2022-11
TXN-104955,CUST-1782,2024-03-11,Automotive,Car Phone Mount,6.0,18.67,0.1,100.81800000000001,Debit Card,Mobile App,Central,Regular,4.6,0,2024,2024-03
TXN-106734,CUST-2195,2022-04-01,Books,Statistics 101,9.0,30.47,0.27,200.1879,Bank Transfer,Mobile App,West,Regular,1.5,0,2022,2022-04
TXN-105964,CUST-4046,2023-08-20,Automotive,Car Air Freshener,6.0,10.01,0.02,58.8588,Credit Card,Mobile App,West,VIP,2.38,0,2023,2023-08
TXN-102301,CUST-4235,2022-08-30,Home & Kitchen,Desk Lamp,2.0,34.6,0.25,51.900000000000006,Bank Transfer,Mobile App,West,New,2.0,0,2022,2022-08
TXN-101832,CUST-3868,2023-10-21,Clothing,Backpack,5.0,55.49,0.19,224.7345,Bank Transfer,In-Store,Central,Premium,3.9,0,2023,2023-10
TXN-101934,CUST-3827,2022-10-22,Books,Data Structures,4.0,49.88,0.06,187.5488,Bank Transfer,Mobile App,West,Premium,4.1,0,2022,2022-10
TXN-102761,CUST-4700,2022-10-07,Beauty & Personal Care,Lip Balm Pack,1.0,13.94,0.07,12.964199999999998,PayPal,In-Store,Central,New,2.1,0,2022,2022-10
TXN-109732,CUST-3437,2022-06-19,Automotive,Car Vacuum,10.0,41.17,0.01,407.583,Credit Card,In-Store,South,New,2.2,1,2022,2022-06
TXN-100451,CUST-3644,2022-03-14,Books,The Pragmatic Programmer,8.0,48.79,0.27,284.9336,Cash,Online,South,New,4.6,1,2022,2022-03
TXN-100601,CUST-4446,2023-09-08,Clothing,Sunglasses,3.0,33.59,0.21,79.60830000000001,ERROR,Mobile App,West,VIP,3.3,1,2023,2023-09
TXN-101499,CUST-2289,2023-02-04,Electronics,Mechanical Keyboard,9.0,114.62,0.19,835.5798,Debit Card,Online,Central,VIP,4.3,0,2023,2023-02
TXN-105344,CUST-3795,2023-12-07,Sports & Outdoors,Protein Powder,4.0,54.06,0.154,182.93904,PayPal,In-Store,Central,ERROR,1.3,0,2023,2023-12
TXN-104551,CUST-1732,2022-10-14,Automotive,Car Phone Mount,1.0,20.74,0.01,20.5326,Cash,In-Store,East,Premium,1.5,0,2022,2022-10
TXN-107596,CUST-2462,2024-08-31,Books,SQL Mastery,9.0,34.4,0.08,284.832,Debit Card,Mobile App,South,Regular,4.2,1,2024,2024-08
TXN-109025,CUST-3054,2023-10-10,Automotive,Car Vacuum,7.0,37.76,0.22,206.1696,PayPal,Mobile App,East,New,2.9,0,2023,2023-10
TXN-101907,CUST-1977,2022-03-23,Electronics,Smart Watch,7.0,254.42,0.23,1371.3238,Bank Transfer,Online,Central,New,3.7,0,2022,2022-03
TXN-101464,CUST-2925,2022-05-10,Sports & Outdoors,Cycling Helmet,10.0,57.27,0.12,503.97600000000006,PayPal,Mobile App,North,Premium,3.8,1,2022,2022-05
TXN-105903,CUST-3524,2022-12-30,Clothing,Running Shoes,6.0,87.24,0.13,455.39279999999997,Cash,Online,North,Regular,3.5,0,2022,2022-12
TXN-107585,CUST-2433,2023-10-02,Books,Deep Work,9.0,16.33,0.06,138.15179999999995,PayPal,Online,Central,Premium,4.6,0,2023,2023-10
TXN-109157,CUST-3216,2024-01-02,Automotive,Seat Covers Set,8.0,46.46,0.03,360.5296,Cash,Mobile App,North,New,1.9,0,2024,2024-01
TXN-102804,CUST-4119,2022-12-07,Beauty & Personal Care,Face Serum,4.0,36.03,0.23,110.97240000000001,PayPal,Mobile App,West,New,2.0,0,2022,2022-12
TXN-109335,CUST-2108,2024-03-27,Home & Kitchen,Rice Cooker,3.0,44.73,0.14,115.40339999999999,Bank Transfer,In-Store,South,Premium,4.7,0,2024,2024-03
TXN-109058,CUST-1602,2023-09-25,Automotive,Car Air Freshener,6.0,9.54,0.02,56.09519999999999,PayPal,Online,South,Regular,3.7,0,2023,2023-09
TXN-106599,CUST-4111,2024-12-19,Books,Machine Learning Basics,3.0,33.74,0.03,98.18339999999999,Cash,Online,South,Premium,4.7,0,2024,2024-12
TXN-103891,CUST-1759,2022-11-25,Clothing,Dress Shirt,3.0,38.38,0.09,104.77740000000001,Bank Transfer,In-Store,East,VIP,2.6,0,2022,2022-11
TXN-100587,CUST-2928,2023-04-26,Beauty & Personal Care,Perfume Set,1.0,82.71,0.02,81.05579999999999,Debit Card,Mobile App,Central,Regular,1.0,1,2023,2023-04
TXN-102217,CUST-4354,2022-08-06,Beauty & Personal Care,Face Serum,3.0,37.56,0.27,82.2564,Cash,Mobile App,South,New,4.2,0,2022,2022-08
TXN-108751,CUST-3434,2022-07-05,Clothing,Sunglasses,9.0,33.44,0.138,259.42751999999996,Credit Card,Mobile App,West,Regular,3.0,0,2022,2022-07
TXN-109740,CUST-3752,2023-11-27,Automotive,USB Car Charger,9.0,14.65,0.13,114.70949999999999,Debit Card,Mobile App,West,New,1.6,1,2023,2023-11
TXN-106899,CUST-1049,2024-12-18,Automotive,Car Phone Mount,5.0,19.42,0.24,73.796,Credit Card,Online,West,Premium,4.5,0,2024,2024-12
TXN-106756,CUST-3253,2024-07-27,Books,Deep Work,2.0,19.45,0.22,30.342,Credit Card,Mobile App,Central,VIP,4.6,0,2024,2024-07
TXN-105559,CUST-4548,2023-01-05,Clothing,Backpack,7.0,59.88,0.1,377.244,PayPal,In-Store,North,New,3.1,0,2023,2023-01
TXN-107066,CUST-3707,2023-07-31,Beauty & Personal Care,Perfume Set,3.0,85.51,0.16,215.48520000000002,Credit Card,In-Store,Central,Regular,1.1,0,2023,2023-07
TXN-103980,CUST-1225,2024-10-26,Books,Clean Code,6.0,28.14,0.3,118.18799999999999,Credit Card,Mobile App,South,VIP,4.0,0,2024,2024-10
TXN-109577,CUST-2526,2024-09-28,Books,Business Analytics,3.0,35.25,0.248,79.524,Credit Card,In-Store,Central,Regular,1.0,1,2024,2024-09
TXN-109882,CUST-3346,2024-08-02,Books,SQL Mastery,4.0,33.14,0.04,127.2576,Cash,In-Store,South,Regular,4.1,0,2024,2024-08
TXN-106146,CUST-1778,2023-01-25,Electronics,Mechanical Keyboard,1.0,111.76,0.25,83.82000000000001,Cash,In-Store,South,Regular,4.2,1,2023,2023-01
TXN-108733,CUST-3334,2023-02-11,Toys & Games,Action Figure Set,7.0,28.09,0.08,180.8996,Credit Card,Mobile App,West,Regular,4.7,0,2023,2023-02
TXN-105658,CUST-3851,2024-07-27,Home & Kitchen,Rice Cooker,10.0,46.47,0.06,436.818,Bank Transfer,Mobile App,East,Premium,1.3,0,2024,2024-07
TXN-107038,CUST-1677,2024-07-10,Toys & Games,Remote Control Car,10.0,48.39,0.17,401.63699999999994,Cash,In-Store,East,New,4.4,0,2024,2024-07
TXN-107111,CUST-4659,2023-07-15,Automotive,Car Air Freshener,3.0,10.39,0.16,26.1828,Cash,Mobile App,East,VIP,2.8399999999999994,0,2023,2023-07
TXN-107237,CUST-4451,2024-02-17,Clothing,Backpack,5.0,50.59,0.14,217.537,Cash,In-Store,South,Regular,5.0,0,2024,2024-02
TXN-102572,CUST-1858,2022-06-06,Toys & Games,Jigsaw Puzzle,2.0,21.44,0.04,41.1648,Bank Transfer,Mobile App,North,New,3.2,0,2022,2022-06
TXN-104859,CUST-2820,2023-11-11,Clothing,Winter Jacket,9.0,134.74,0.08,1115.6472,Debit Card,Online,South,Premium,2.8,0,2023,2023-11
TXN-103649,CUST-3440,2023-08-02,Clothing,Running Shoes,1.0,96.91,0.14,83.34259999999999,Cash,In-Store,West,Regular,2.0,0,2023,2023-08
TXN-105098,CUST-3992,2022-10-24,Toys & Games,Drone Mini,8.0,84.25,0.02,660.52,Debit Card,In-Store,North,Premium,2.7,0,2022,2022-10
TXN-100408,CUST-3177,2023-04-19,Beauty & Personal Care,Perfume Set,9.0,97.99,0.03,855.4526999999999,PayPal,In-Store,South,Premium,3.3,0,2023,2023-04
TXN-109703,CUST-1043,2022-04-15,Books,Atomic Habits,1.0,21.76,0.18,17.843200000000003,PayPal,In-Store,Central,New,3.2,0,2022,2022-04
TXN-106085,CUST-1146,2022-09-17,Books,Python for Data Science,7.0,36.44,0.28,183.65759999999997,Debit Card,In-Store,North,Premium,2.0,0,2022,2022-09
TXN-103000,CUST-2179,2022-11-15,Sports & Outdoors,Water Bottle,6.0,23.55,0.01,139.887,Cash,Mobile App,South,ERROR,1.5,0,2022,2022-11
TXN-105122,CUST-3732,2024-05-28,Books,SQL Mastery,3.0,35.54,0.2,85.296,Credit Card,Online,North,Regular,3.2,0,2024,2024-05
